Link,Job Title,Company,Salary,Location,Experience,Skills,Day Posted
https://www.naukri.com/job-listings-electrical-technician-overseas-development-and-employment-promotion-consultants-saudi-arabia-0-to-2-years-260325017520,Electrical Technician,EFS Facilities Services,3.75-4 Lacs PA,Hybrid - Saudi Arabia,0-2 Yrs,"Electrical Maintenance, Electrical Installation, Electrical Works, House Wiring, Electrical Engineering, Maintenance, Electricals, Engineering",2024-01
https://www.naukri.com/job-listings-electrical-technician-usv-pvt-ltd-vadodara-usv-savli-vadodara-4-to-7-years-110425017413,Electrical Technician - USV Pvt Ltd - Vadodara,USV,Not disclosed,"Savli, Vadodara",4-7 Yrs,"Electrical Maintenance, DG Sets, Pharmaceutical, 11Kv, DG, Maintenance, Electricals, Set",2024-01
https://www.naukri.com/job-listings-electrical-technician-shiraa-global-projects-coimbatore-1-to-5-years-090425017581,Electrical Technician,Shiraa Global Projects,1.8-3 Lacs PA,Coimbatore(Sowripalayam ),1-5 Yrs,"Electrical Works, Wiring, Panel Testing, ITI Electrical, Electrical Installation, Control Panel, Panel Wiring, Panels",2024-01
https://www.naukri.com/job-listings-electrical-technician-sterling-system-controls-patna-0-to-3-years-230325002543,Electrical Technician,Sterling System & Controls,"50,000-3 Lacs PA",Remote,0-3 Yrs,"Electrical Maintenance, Electrical Erection, EOT Cranes, Panel Wiring, VFD Drives, Electrical Wiring, Panels, Maintenance",2024-01
https://www.naukri.com/job-listings-electrical-technician-archance-hr-sathyamangalam-0-to-1-years-061224015414,Electrical Technician,AVT,"50,000-1.5 Lacs PA",Sathyamangalam,0-1 Yrs,"Distillation, operator, Operating, Electricals, Operations",2024-01
https://www.naukri.com/job-listings-electrical-technician-career-club-hr-management-llp-nashik-0-to-1-years-040225500168,Electrical Technician,CAREER CLUB HR MANAGEMENT LLP,Not disclosed,Nashik,0-1 Yrs,Electricals,2024-01
https://www.naukri.com/job-listings-electrical-technician-vr-448-asiapower-recruitment-consultants-saudi-arabia-5-to-10-years-110425019658,Electrical Technician (VR - 448),Asiapower,Not disclosed,Saudi Arabia,5-10 Yrs,"Technician, Aramco, Electrical, Oil & Gas, Gas, Virtual Reality, Oil, Electricals",2024-01
https://www.naukri.com/job-listings-electrical-technician-electrician-gurgaon-indo-edge-human-resources-gurugram-delhi-ncr-1-to-6-years-210325009140,Electrical Technician / Electrician            Gurgaon,Indo Edge Human Resources,1-3 Lacs PA,"Gurugram, Delhi / NCR",1-6 Yrs,"ITI Electrical, Panel Testing, Electrical Maintenance, Electrical Wiring, electrican, Electrical Works, Panel Wiring, Wiring",2024-01
https://www.naukri.com/job-listings-electrical-technician-ideal-contrivance-vadodara-0-to-4-years-110425011451,Electrical Technician,Ideal Contrivance,1.5-4 Lacs PA,Vadodara(Manjusar GIDC  +2),0-4 Yrs,"Fault Finding, ITI Electrical, Electrical Installation, Maintain Documentation, Troubleshooting, Electrical Maintenance, Maintenance, Electrical Works",2024-01
https://www.naukri.com/job-listings-electrical-technician-cre-spacez-bengaluru-0-to-5-years-140824016162,Electrical Technician,CRE Spacez,Not disclosed,Bengaluru(MG Road),0-5 Yrs,"Technician, Building Maintenance, Electrical maintenance, Electrical Service, Fire Alarm System, ITI Electrical, Bms System, Building Management System",2024-01
